"spkid","full_name","pdes","orbit_id","diameter","e","a","q","i","om","ma","ad","tp","producer","first_obs","last_obs","n_obs_used","w","class"
1000004,"   85D/Boethin",85D,"JPL 23",,0.7812,5.185,1.135,4.30,359.40,313.19,9.24,2454813.25,"Steven R. Chesley",1975-02-05,1986-03-01,51,37.62,JFc
1000108,"   86P/Wild 3",86P,"JPL K152/7",0.86,0.3722,3.605,2.264,15.47,72.39,81.70,4.95,2457115.99,"Shantanu Naidu",2008-06-03,2022-08-22,32,179.19,JFc
1000010,"   87P/Bus",87P,"JPL K203/18",0.56,0.3893,3.441,2.101,2.60,181.89,126.79,4.78,2456646.40,"Davide Farnocchia",1999-11-13,2020-09-05,667,24.76,ETc
1000046,"   88P/Howell",88P,"JPL K263/2",4.4,0.5638,3.107,1.355,4.38,56.70,207.94,4.86,2459119.32,"Davide Farnocchia",2014-01-29,2024-01-31,2669,235.85,JFc
1000073,"   89P/Russell 2",89P,"JPL 40",2.8,0.4080,3.751,2.221,12.08,41.45,336.03,5.28,2457737.17,"Shantanu Naidu",1980-08-09,2024-10-04,541,250.14,JFc
1000029,"   90P/Gehrels 1",90P,"JPL K172/13",7.8,0.5098,6.069,2.975,9.64,13.25,351.87,9.16,2457923.78,"Shantanu Naidu",2001-08-10,2018-04-15,577,29.27,JFc
1000074,"   91P/Russell 3",91P,"JPL K204/3",,0.3302,3.89,2.606,14.09,247.90,131.90,5.18,2453548.59,"Davide Farnocchia",1996-11-18,2021-08-30,337,354.87,JFc
1000076,"   92P/Sanguin",92P,"JPL 28",2.38,0.6593,5.358,1.825,19.44,181.46,23.27,8.89,2457082.68,"Ryan S. Park",1977-09-13,2015-11-16,919,163.79,JFc
1000060,"   93P/Lovas 1",93P,"JPL 63",,0.6127,4.389,1.700,12.20,339.63,358.56,7.08,2457813.95,"Davide Farnocchia",1980-12-05,2018-04-19,3386,74.90,JFc
1000075,"   94P/Russell 4",94P,"JPL 78",,0.3641,3.511,2.233,6.18,70.90,217.12,4.79,2457689.32,"Davide Farnocchia",1950-05-10,2024-02-08,2175,92.68,ETc
1000061,"   96P/Machholz 1",96P,"JPL K233/7",6.4,0.9592,3.035,0.124,58.14,94.25,340.99,5.95,2458054.46,"Shantanu Naidu",2012-04-20,2023-06-22,667,14.79,JFC
1000128,"   97P/Metcalf-Brewington",97P,"JPL K223/12",3.4,0.4569,4.8,2.607,17.86,185.17,193.67,6.99,2459631.12,"Shantanu Naidu",2000-09-01,2022-01-28,391,228.22,JFc
