"spkid","full_name","pdes","orbit_id","diameter","e","a","q","i","om","ma","ad","tp","producer","first_obs","last_obs","n_obs_used","w","class","moid"
20024445," 24445 (2000 PM8)",24445,"JPL 475",,0.5459,2.211,1.004,23.78,203.16,119.45,3.42,2460202.14,"Otto Matic",1991-04-10,2024-06-06,2315,219.08,APO,0.0816
20024761," 24761 Ahau (1993 BW2)",24761,"JPL 223",,0.3058,1.335,0.927,21.92,121.04,245.98,1.74,2460778.91,"Otto Matic",1993-01-28,2024-07-05,1192,287.55,APO,0.101
20025143," 25143 Itokawa (1998 SF36)",25143,"JPL 221",0.33,0.2803,1.324,0.953,1.62,69.08,142.57,1.70,2460380.09,"Otto Matic",1998-09-19,2024-10-06,971,162.82,APO,0.0129
20025330," 25330 (1999 KV4)",25330,"JPL 443",3.21,0.3708,1.541,0.969,14.33,50.52,129.11,2.11,2460349.98,"Otto Matic",1979-11-16,2024-07-10,2741,86.10,APO,0.174
20026379," 26379 (1999 HZ1)",26379,"JPL 26",,0.5763,1.606,0.681,8.68,252.10,239.86,2.53,2460848.61,"Otto Matic",1992-08-27,2015-09-03,73,200.60,APO,0.131
20026663," 26663 (2000 XK47)",26663,"JPL 137",,0.4717,1.546,0.817,13.53,303.59,108.78,2.28,2460388.33,"Otto Matic",1974-07-12,2024-07-31,637,231.23,APO,0.0342
20027002," 27002 (1998 DV9)",27002,"JPL 109",,0.4333,1.744,0.988,8.70,130.34,203.62,2.50,2460965.86,"Otto Matic",1998-02-23,2024-08-08,519,0.82,APO,0.00429
20029075," 29075 (1950 DA)",29075,"JPL 265",1.3,0.5077,1.699,0.836,12.16,356.59,223.31,2.56,2460907.61,"Otto Matic",1950-02-23,2023-10-03,1124,224.76,APO,0.0385
20030825," 30825 (1990 TG1)",30825,"JPL 581",,0.6812,2.436,0.777,8.74,205.02,40.46,4.10,2460444.38,"Otto Matic",1990-09-16,2024-10-09,3165,33.67,APO,0.0692
20030997," 30997 (1995 UO5)",30997,"JPL 71",,0.6432,1.56,0.556,36.26,38.62,206.27,2.56,2460904.34,"Otto Matic",1995-10-26,2024-10-09,281,151.17,APO,0.402
20031662," 31662 (1999 HP11)",31662,"JPL 27",,0.5479,1.597,0.722,18.82,13.94,158.87,2.47,2460275.07,"Otto Matic",1999-03-20,2023-03-19,68,312.03,APO,0.125
20031669," 31669 (1999 JT6)",31669,"JPL 215",,0.5776,2.137,0.903,9.54,78.77,97.39,3.37,2460291.76,"Otto Matic",1996-06-12,2024-06-13,1234,39.10,APO,0.000451
20035107," 35107 (1991 VH)",35107,"JPL 517",0.929,0.1442,1.137,0.973,13.91,139.34,100.55,1.30,2460476.76,"Otto Matic",1991-11-09,2021-05-06,4050,206.96,APO,0.0255
20035396," 35396 (1997 XF11)",35396,"JPL 393",0.704,0.4837,1.442,0.745,4.10,213.65,272.13,2.14,2460754.90,"Otto Matic",1990-03-22,2024-01-19,2562,103.04,APO,0.000394
20035670," 35670 (1998 SU27)",35670,"JPL 25",,0.5964,2.122,0.857,7.14,271.33,130.45,3.39,2460191.27,"Otto Matic",1998-09-24,2002-02-13,119,169.85,APO,0.0721
20036236," 36236 (1999 VV)",36236,"JPL 251",,0.4238,1.333,0.768,58.04,241.07,200.50,1.90,2460849.42,"Otto Matic",1979-11-26,2023-01-14,1528,19.79,APO,0.227
20036284," 36284 (2000 DM8)",36284,"JPL 412",,0.5538,1.484,0.662,46.76,323.15,128.39,2.31,2460364.89,"Otto Matic",1999-12-30,2023-12-17,2932,317.96,APO,0.267
20037638," 37638 (1993 VB)",37638,"JPL 104",,0.5199,1.913,0.918,5.08,145.56,236.56,2.91,2460931.89,"Otto Matic",1993-11-06,2023-05-21,956,323.20,APO,0.000275
20037655," 37655 Illapa (1994 PM)",37655,"JPL 127",,0.7525,1.478,0.366,18.03,139.52,254.99,2.59,2460791.90,"Otto Matic",1994-08-01,2024-06-27,658,303.90,APO,0.025
20038086," 38086 Beowulf (1999 JB)",38086,"JPL 210",0.643,0.5661,1.42,0.616,23.67,165.32,316.82,2.22,2460674.65,"Otto Matic",1992-05-01,2024-04-10,1085,178.97,APO,0.385
20038239," 38239 (1999 OR3)",38239,"JPL 36",,0.5757,2.036,0.864,9.40,199.79,269.10,3.21,2460868.53,"Otto Matic",1999-07-27,2019-01-11,183,28.50,APO,0.0531
20040267," 40267 (1999 GJ4)",40267,"JPL 612",1.641,0.8084,1.339,0.256,34.48,148.21,36.46,2.42,2460543.19,"Otto Matic",1955-03-25,2024-07-16,3619,211.96,APO,0.157
20041429," 41429 (2000 GE2)",41429,"JPL 87",0.204,0.5553,1.593,0.708,2.17,351.91,42.91,2.48,2460512.99,"Otto Matic",1998-03-25,2024-10-11,400,297.20,APO,0.0109
20042286," 42286 (2001 TN41)",42286,"JPL 290",,0.3917,1.419,0.863,24.08,55.82,108.64,1.98,2460414.14,"Otto Matic",1975-09-09,2024-10-02,1475,150.95,APO,0.109
20052340," 52340 (1992 SY)",52340,"JPL 89",,0.5477,2.212,1.000,8.08,5.24,218.94,3.42,2461071.22,"Otto Matic",1980-03-19,2016-06-08,672,116.34,APO,0.101
