"spkid","full_name","pdes","orbit_id","diameter","e","a","q","i","om","ma","ad","tp","producer","first_obs","last_obs","n_obs_used","w","class","moid"
20026663," 26663 (2000 XK47)",26663,"JPL 137",,0.4717,1.546,0.817,13.53,303.59,108.78,2.28,2460388.33,"Otto Matic",1974-07-12,2024-07-31,637,231.23,APO,0.0342
20027002," 27002 (1998 DV9)",27002,"JPL 109",,0.4333,1.744,0.988,8.70,130.34,203.62,2.50,2460965.86,"Otto Matic",1998-02-23,2024-08-08,519,0.82,APO,0.00429
20029075," 29075 (1950 DA)",29075,"JPL 265",1.3,0.5077,1.699,0.836,12.16,356.59,223.31,2.56,2460907.61,"Otto Matic",1950-02-23,2023-10-03,1124,224.76,APO,0.0385
20031669," 31669 (1999 JT6)",31669,"JPL 215",,0.5776,2.137,0.903,9.54,78.77,97.39,3.37,2460291.76,"Otto Matic",1996-06-12,2024-06-13,1234,39.10,APO,0.000451
20033342," 33342 (1998 WT24)",33342,"JPL 212",0.432,0.4177,0.7187,0.419,7.37,81.66,27.50,1.02,2460583.50,"Otto Matic",1998-11-24,2023-12-17,1973,167.52,ATE,0.0109
20035107," 35107 (1991 VH)",35107,"JPL 517",0.929,0.1442,1.137,0.973,13.91,139.34,100.55,1.30,2460476.76,"Otto Matic",1991-11-09,2021-05-06,4050,206.96,APO,0.0255
20035396," 35396 (1997 XF11)",35396,"JPL 393",0.704,0.4837,1.442,0.745,4.10,213.65,272.13,2.14,2460754.90,"Otto Matic",1990-03-22,2024-01-19,2562,103.04,APO,0.000394
20037638," 37638 (1993 VB)",37638,"JPL 104",,0.5199,1.913,0.918,5.08,145.56,236.56,2.91,2460931.89,"Otto Matic",1993-11-06,2023-05-21,956,323.20,APO,0.000275
20037655," 37655 Illapa (1994 PM)",37655,"JPL 127",,0.7525,1.478,0.366,18.03,139.52,254.99,2.59,2460791.90,"Otto Matic",1994-08-01,2024-06-27,658,303.90,APO,0.025
20038071," 38071 (1999 GU3)",38071,"JPL 56",,0.5075,2.089,1.029,12.74,195.49,162.10,3.15,2460103.79,"Otto Matic",1999-04-10,2023-01-25,474,8.81,AMO,0.0333
20039572," 39572 (1993 DQ1)",39572,"JPL 174",1.554,0.4927,2.036,1.033,10.03,313.50,205.80,3.04,2461055.07,"Otto Matic",1993-02-26,2024-01-30,851,344.85,AMO,0.0282
20041429," 41429 (2000 GE2)",41429,"JPL 87",0.204,0.5553,1.593,0.708,2.17,351.91,42.91,2.48,2460512.99,"Otto Matic",1998-03-25,2024-10-11,400,297.20,APO,0.0109
20052760," 52760 (1998 ML14)",52760,"JPL 155",1.0,0.6233,2.409,0.907,2.43,338.68,347.09,3.91,2460649.47,"Otto Matic",1998-06-24,2024-06-11,684,20.37,APO,0.0166
